Stock File,Total Rows,Duplicate Pairs,Row1,Row2,Date,Action,Qty,Price1,Price2,Cost1,Cost2,Exch1,Exch2
ABB India Ltd.xlsx,36,3,24,25,2025-09-24 00:00:00,Buy,1,5316.6,5316.7,5354.25,5354.39,NSE,NSE
ABB India Ltd.xlsx,36,3,36,37,2025-02-20 00:00:00,Buy,1,5226.61,5226.67,5226.61,5226.67,NSE,NSE
ABB India Ltd.xlsx,36,3,39,40,2025-02-11 00:00:00,Buy,1,5524.45,5524.45,5524.45,5524.45,NSE,NSE
Afcons Infrastructure Ltd.xlsx,57,9,8,12,2026-01-12 00:00:00,Buy,1,356.85,356.85,359.37,359.37,NSE,NSE
Afcons Infrastructure Ltd.xlsx,57,9,10,11,2026-01-12 00:00:00,Buy,2,356.85,356.85,718.74,718.74,NSE,NSE
Afcons Infrastructure Ltd.xlsx,57,9,39,45,2025-10-29 00:00:00,Buy,10,454.75,457.96,4579.65,,NSE,BSE
Afcons Infrastructure Ltd.xlsx,57,9,40,46,2025-10-27 00:00:00,Buy,10,440.65,443.77,4437.7,,NSE,BSE
Afcons Infrastructure Ltd.xlsx,57,9,41,48,2025-10-24 00:00:00,Buy,7,444.2,447.35,3131.46,,BSE,BSE
Afcons Infrastructure Ltd.xlsx,57,9,42,47,2025-10-24 00:00:00,Buy,3,444.25,447.4,1342.19,,BSE,BSE
Afcons Infrastructure Ltd.xlsx,57,9,43,49,2025-10-20 00:00:00,Buy,10,444.2,447.35,4473.53,,BSE,BSE
Afcons Infrastructure Ltd.xlsx,57,9,44,50,2025-10-17 00:00:00,Buy,13,451.95,455.15,5917,,NSE,BSE
Afcons Infrastructure Ltd.xlsx,57,9,57,58,2025-07-04 00:00:00,Buy,2,435.81,435.81,871.62,871.62,NSE,NSE
Antony Waste Handling Cell Ltd.xlsx,100,24,8,9,2025-12-08 00:00:00,Buy,8,426.5,426.4,3436.31,3435.51,NSE,NSE
Antony Waste Handling Cell Ltd.xlsx,100,24,33,46,2025-10-29 00:00:00,Buy,10,528.3,532.04,5320.41,,NSE,BSE
Antony Waste Handling Cell Ltd.xlsx,100,24,34,47,2025-10-27 00:00:00,Buy,9,526.85,530.58,4775.2,,NSE,BSE
Antony Waste Handling Cell Ltd.xlsx,100,24,35,48,2025-10-27 00:00:00,Buy,1,526.9,530.64,530.64,,NSE,BSE
Antony Waste Handling Cell Ltd.xlsx,100,24,36,50,2025-10-24 00:00:00,Buy,1,523.05,526.77,526.77,,NSE,BSE
Antony Waste Handling Cell Ltd.xlsx,100,24,37,49,2025-10-24 00:00:00,Buy,9,523,526.71,4740.39,,NSE,BSE
Antony Waste Handling Cell Ltd.xlsx,100,24,38,51,2025-10-20 00:00:00,Buy,10,518.55,522.22,5222.22,,NSE,BSE
Antony Waste Handling Cell Ltd.xlsx,100,24,39,40,2025-10-17 00:00:00,Buy,1,516.7,516.9,520.36,520.56,BSE,BSE
Antony Waste Handling Cell Ltd.xlsx,100,24,42,53,2025-10-03 00:00:00,Buy,1,549.45,553.36,553.36,,BSE,BSE
